provider_id,provider_name,market,care_type,licensing_status,operating_hours,ages_served,languages,payment_methods_accepted,supports,notes
P001,Harbour Lights Overnight Childcare,New York City,Licensed Childcare Centre,Licensed,24 hours,6-60 months,English|Spanish,Parent Pay|Employer Assistance,Allergy plans|Medication administration,Synthetic overnight centre; limited overnight spaces
P002,Hudson Home Nanny Collective,New York City,In-Home Caregiver,Registered agency,Flexible/overnight,0-144 months,English|Spanish|French,Parent Pay|Employer Assistance,Individualized care|Rotating schedules,Synthetic placement agency
P003,Manhattan Children’s Learning Centre,New York City,Licensed Childcare Centre,Licensed,07:30-18:30,6-60 months,English|Spanish,Parent Pay|Employer Assistance,Allergy plans,Structured centre; standard hours
P004,Brooklyn Extended Care House,New York City,Licensed Family Childcare Home,Licensed,06:30-21:00,6-60 months,English|Spanish,Parent Pay|Subsidy,Flexible pickup|Allergy plans,Small licensed home; evening coverage
P005,Maple Steps Early Learning Centre,Toronto,Licensed Childcare Centre,Licensed,07:00-18:30,6-60 months,English,Parent Pay|Subsidy Pending|Subsidy Approved,Allergy plans|Mobility access,Short synthetic infant waitlist
P006,Toronto General Workplace Childcare,Toronto,Employer / Campus Childcare Centre,Licensed,06:30-19:00,6-60 months,English|French,Parent Pay|Employer Assistance,Allergy plans|Extended hours,Employer-affiliated; staff eligibility required
P007,Little Cedar Family Childcare,Toronto,Licensed Family Childcare Home,Licensed,07:00-18:00,6-60 months,English|Tagalog,Parent Pay|Subsidy,Small group|Sibling priority,Neighbourhood licensed home
P008,Bright Path Inclusion Centre,Toronto,Licensed Childcare Centre,Licensed,07:30-18:00,12-60 months,English|French,Parent Pay|Subsidy,Autism support|Hearing support|Mobility access,Inclusive synthetic centre
P009,Riverside Private Home Care,Toronto,Unlicensed Family Childcare Home,Unlicensed,07:00-19:00,12-60 months,English,Parent Pay,Flexible hours,Only eligible if caregiver explicitly opts in
P010,Future Start Early Learning Centre,Toronto,Licensed Childcare Centre,Licensed,07:00-18:00,6-60 months,English,Parent Pay|Subsidy,Future enrolment waitlist,Accepts applications during pregnancy
