family_id,primary_matching_reason,expected_primary_care_recommendations,expected_primary_provider_matches,excluded_providers_and_reasons,expected_notification_behavior,expected_confidence,expected_next_action,human_review_required
F001,Rotating hospital shifts require care beyond standard centre hours.,In-Home Caregiver|Licensed Childcare Centre as secondary,Hudson Home Nanny Collective|Harbour Lights Overnight Childcare,Manhattan Children’s Learning Centre - standard hours do not cover overnight call,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",YES
F002,"A nearby licensed centre meets the infant age, schedule and payment requirements.",Licensed Childcare Centre,Maple Steps Early Learning Centre|Bright Path Inclusion Centre,Toronto General Workplace Childcare - no employer eligibility confirmed,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",YES
F003,A centre-plus-backup plan supports a predictable week without forcing a full-time nanny.,Licensed Childcare Centre|In-Home Caregiver as secondary,Bayview Montessori Centre|Silicon Valley Care at Home,Mission Family Childcare - does not provide the preferred structured classroom,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F004,The strongest match combines compliant French-first communication with practical newcomer language support.,Licensed Childcare Centre|Licensed Family Childcare Home,Jardin des Petits Bilingue|Maison Soleil Familiale,Campus des Familles Montréal - no campus eligibility,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F005,The recommendation must account for a complete care need but incomplete payment/support information.,Licensed Childcare Centre,Maple Steps Early Learning Centre|Bright Path Inclusion Centre,Riverside Private Home Care - unlicensed care not selected,ESCALATE,MEDIUM,"Review recommended option and approve, edit, or escalate",YES
F006,"The provider meets language, age, schedule and outdoor-program preferences.",Licensed Childcare Centre,Les Explorateurs de Québec|Petite Maison Lévis,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F007,The provider must confirm two age-appropriate spaces together.,Licensed Childcare Centre,Prairie Sky Early Learning|Bow River Family Day Home,Calgary Caregiver Network - individualized care is possible but not the preferred group setting,SURFACE,MEDIUM,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F008,A licensed neighbourhood home is available sooner and matches the caregiver’s stated preference.,Licensed Family Childcare Home,Little Cedar Family Childcare|Maple Steps Early Learning Centre,Riverside Private Home Care - unlicensed care was not selected,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F009,Existing family enrolment and one-location pickup drive the ranking.,Licensed Childcare Centre,Seaside Learning Centre|Beacon Hill Home Childcare,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F010,A Spanish-first registered centre meets schedule and program needs.,Licensed Childcare Centre,Casa Arcoíris Infantil|Hogar Pequeños Pasos,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F011,"Employer-affiliated care is preferred because it satisfies eligibility, location and extended hours.",Employer / Campus Childcare Centre,Toronto General Workplace Childcare|Maple Steps Early Learning Centre,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F012,"Support capability is a hard constraint, not a soft preference.",Licensed Childcare Centre,Bright Path Inclusion Centre,Maple Steps Early Learning Centre - specialized autism support not confirmed,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F013,Only providers with confirmed allergy protocols remain eligible.,Licensed Childcare Centre,Maple Steps Early Learning Centre|Bright Path Inclusion Centre,Riverside Private Home Care - allergy procedures not documented,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F014,The recommendation must support relocation and explain jurisdictional communication expectations.,Licensed Childcare Centre,Jardin des Petits Bilingue|Centre Élan Inclusif,Campus des Familles Montréal - affiliation not confirmed,SURFACE,MEDIUM,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F015,Payment flexibility is required; Nestly must not determine official eligibility.,Licensed Childcare Centre,Maple Steps Early Learning Centre|Bright Path Inclusion Centre,Toronto General Workplace Childcare - no employer eligibility,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F016,A licensed family home best matches the explicitly stated small-group preference.,Licensed Family Childcare Home,Bow River Family Day Home|Prairie Sky Early Learning,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F017,No standard centre fully matches; individualized in-home care is the safest realistic recommendation.,In-Home Caregiver,Potomac Nanny Cooperative,Capitol Early Learning Centre - standard hours do not cover 24-hour shifts,ESCALATE,MEDIUM,"Review recommended option and approve, edit, or escalate",YES
F018,A confirmed short waitlist makes the centre a realistic high-confidence recommendation.,Licensed Childcare Centre,Island Sprouts Early Learning|Harbour Home Childcare,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F019,The correct action is to start early with providers that accept future enrolment without creating false urgency.,Licensed Childcare Centre,Future Start Early Learning Centre|Maple Steps Early Learning Centre,Toronto General Workplace Childcare - employer eligibility not confirmed,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F020,Current enrolment and age-room transition should outrank a new external application.,Licensed Childcare Centre,Maple Steps Early Learning Centre|Bright Path Inclusion Centre,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F021,Outdoor programming reorders eligible options but does not exclude a safe licensed provider.,Licensed Childcare Centre,Maple Steps Early Learning Centre|Future Start Early Learning Centre,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F022,A licensed family home can absorb the small schedule variation without forcing an in-home plan.,Licensed Family Childcare Home,Mission Family Childcare|Bayview Montessori Centre,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F023,A bilingual licensed provider is a strong fit without a newcomer barrier.,Licensed Childcare Centre,Jardin des Petits Bilingue|Centre Élan Inclusif,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F024,The centre meets the standard need and bilingual preference.,Licensed Childcare Centre,Island Sprouts Early Learning|Harbour Home Childcare,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F025,A standard centre is appropriate; overnight care should not be over-recommended.,Licensed Childcare Centre,Manhattan Children’s Learning Centre|Brooklyn Extended Care House,Harbour Lights Overnight Childcare - overnight capability is unnecessary and limited,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F026,A licensed centre with remote onboarding is primary; cost must remain in local currency.,Licensed Childcare Centre,Seaside Learning Centre|Beacon Hill Home Childcare,,SURFACE,MEDIUM,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F027,The agent should start a broad licensed-centre strategy without assuming employer eligibility.,Licensed Childcare Centre,Capitol Early Learning Centre,Potomac Nanny Cooperative - unnecessary for standard future schedule,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F028,A blended relative-plus-centre plan avoids paying for unnecessary full-time care.,Relative Care|Licensed Childcare Centre as secondary,Maple Steps Early Learning Centre|Little Cedar Family Childcare,,SURFACE,HIGH,"Review recommended option and approve, edit, or escalate",CONDITIONAL
F029,Unlicensed care may appear only because the caregiver explicitly opted in and no licensed option starts soon enough.,Unlicensed Family Childcare Home|Licensed Family Childcare Home as alternative,Riverside Private Home Care|Little Cedar Family Childcare,,ESCALATE,LOW,"Review recommended option and approve, edit, or escalate",YES
F030,The correct behavior is restraint: record the minor change internally and do not interrupt the caregiver.,Licensed Childcare Centre,Maple Steps Early Learning Centre|Future Start Early Learning Centre,,STAY_SILENT,HIGH,No caregiver action; record internally,CONDITIONAL
F031,Nestly must refuse to accept or decline and present the terms for human review.,No Suitable Autonomous Action,Manhattan Children’s Learning Centre,,ESCALATE,HIGH,"Review recommended option and approve, edit, or escalate",YES
